"p","n","sim","ARI.Oracle","ARI.vemMB","ARI.vemGlasso","ARI.vemTree","AUC.MB","AUC.vemMB","AUC.Glasso","AUC.vemGlasso","AUC.Tree","AUC.vemTree"
20,20,45,0.443427316001465,-0.0377238663787629,-0.0377238663787629,0.0417025464386763,0.652560083594566,0.630551201671892,0.652560083594566,0.630551201671892,0.759404388714734,0.701933124346918
20,20,46,0.728200024878716,0.0203722334004024,0.0203722334004024,0.318475832059273,0.716857610474631,0.693497991370331,0.716857610474631,0.693497991370331,0.807617914000892,0.804047016812974
20,20,47,0.855201320970405,-0.0676793874274423,-0.0676793874274423,0.194447671041933,0.651892701525054,0.664351851851853,0.651892701525054,0.664351851851853,0.788398692810457,0.797181372549019
20,20,48,0.770253929866989,-0.0119540774056101,-0.0119540774056101,0.0488374680164646,0.523701690821256,0.460975241545894,0.523701690821256,0.460975241545894,0.689915458937198,0.70282306763285
20,20,49,0.235412474849095,0.0507817091806747,0.0507817091806747,0.0128410914927768,0.56625,0.532727272727273,0.56625,0.532727272727273,0.638863636363636,0.598011363636364
20,20,50,0.688799294443745,0.14004914004914,0.14004914004914,-0.046046046046046,0.512581014105985,0.509276909391282,0.512581014105985,0.509276909391282,0.586097344008133,0.604714703265981
20,50,1,0.816801253465108,0.0474524892153434,0.0840062673255394,0.0520144692528378,0.763857142857143,0.759357142857142,0.856714285714286,0.849571428571428,0.872142857142857,0.882857142857143
20,50,2,0.583086229391531,0.105106593951413,-0.0698468935847147,0,0.740138453500523,0.750718390804599,0.799111807732498,0.778735632183908,0.852142110762801,0.852142110762801
20,50,3,0.460162011848628,0.0999479437792817,0.0145463216883272,-0.0525995373188847,0.841609195402299,0.824597701149425,0.856704980842912,0.84735632183908,0.867739463601532,0.860613026819923
20,50,4,0.317610439363103,-0.0266082169436232,0.0172067982687639,0.0736116066119634,0.820934384764172,0.831275107870852,0.883871447701235,0.824133313495016,0.909686058622229,0.881267668501711
20,50,5,0.815556364518869,-0.0910201588271228,0.136061559986009,-0.0484303010821815,0.753131313131314,0.728080808080809,0.836835016835016,0.783703703703704,0.866127946127948,0.822626262626263
20,50,6,0.222512157513937,0.00320948031107275,0.197064056939502,-0.0270831058206836,0.717049993113896,0.723247486572098,0.753202038286737,0.762153973281917,0.788872056190607,0.778129734196391
20,50,7,0.754172596713676,-0.00897842986970329,0.576340805069827,0.289010851939628,0.658630665380906,0.703290742526519,0.777965284474445,0.805508678881389,0.82907425265188,0.840224204435872
20,50,8,0.596577017114914,-0.0021786492374728,0.397463002114165,0.297423887587822,0.765576923076923,0.785256410256411,0.874423076923077,0.896410256410256,0.856794871794873,0.828717948717949
20,50,9,0.718501837145905,0.0800681431005111,0.205314306802805,0.055445081296058,0.87238920020377,0.885294617082696,0.91577517405332,0.893105790456784,0.899133978604177,0.900322635421973
20,50,10,0.43321563375137,-0.0757335930841349,0,0.00314795383001049,0.69777397260274,0.719178082191781,0.739648194271482,0.720579078455791,0.788138231631382,0.767979452054794
20,50,11,0.585866697258231,0.0598545367831167,0.104253723347262,0,0.762145593869732,0.803831417624521,0.822145593869732,0.83448275862069,0.846283524904214,0.846283524904214
20,50,12,0.545168199571627,-0.0586692887577843,-0.0859900927219612,-0.0394811054709532,0.639148841354724,0.627952317290553,0.704434046345811,0.6913435828877,0.731951871657754,0.696301247771836
20,50,13,0.508599508599509,-0.0124333925399645,0.0754257907542579,0.211136890951276,0.697944896115628,0.681063685636857,0.759202800361337,0.784383468834688,0.796747967479675,0.738877597109304
20,50,14,0.460778749006698,0.0120285678486406,-0.0505857878024746,0.0694158906760188,0.6665347579475,0.707492415248647,0.757881545970189,0.783471837488458,0.826671943015433,0.820604141933781
